perm,qidx,correct
"[2, 6, 3, 5, 1, 4, 7, 0]",22,0
"[2, 6, 3, 5, 1, 4, 7, 0]",23,0
"[2, 6, 3, 5, 1, 4, 7, 0]",24,0
"[2, 6, 3, 5, 1, 0, 7, 4]",0,0
"[2, 6, 3, 5, 1, 0, 7, 4]",1,1
"[2, 6, 3, 5, 1, 0, 7, 4]",2,0
"[2, 6, 3, 5, 1, 0, 7, 4]",3,0
"[2, 6, 3, 5, 1, 0, 7, 4]",4,0
"[2, 6, 3, 5, 1, 0, 7, 4]",5,0
"[2, 6, 3, 5, 1, 0, 7, 4]",6,0
"[2, 6, 3, 5, 1, 0, 7, 4]",7,1
"[2, 6, 3, 5, 1, 0, 7, 4]",8,0
"[2, 6, 3, 5, 1, 0, 7, 4]",9,1
"[2, 6, 3, 5, 1, 0, 7, 4]",10,0
"[2, 6, 3, 5, 1, 0, 7, 4]",11,0
"[2, 6, 3, 5, 1, 0, 7, 4]",12,0
"[2, 6, 3, 5, 1, 0, 7, 4]",13,0
"[2, 6, 3, 5, 1, 0, 7, 4]",14,1
"[2, 6, 3, 5, 1, 0, 7, 4]",15,1
"[2, 6, 3, 5, 1, 0, 7, 4]",16,0
"[2, 6, 3, 5, 1, 0, 7, 4]",17,1
"[2, 6, 3, 5, 1, 0, 7, 4]",18,0
"[2, 6, 3, 5, 1, 0, 7, 4]",19,1
"[2, 6, 3, 5, 1, 0, 7, 4]",20,0
"[2, 6, 3, 5, 1, 0, 7, 4]",21,0
"[2, 6, 3, 5, 1, 0, 7, 4]",22,1
"[2, 6, 3, 5, 1, 0, 7, 4]",23,0
"[2, 6, 3, 5, 1, 0, 7, 4]",24,0
"[5, 0, 4, 1, 3, 2, 6, 7]",0,0
"[5, 0, 4, 1, 3, 2, 6, 7]",1,0
"[5, 0, 4, 1, 3, 2, 6, 7]",2,0
"[5, 0, 4, 1, 3, 2, 6, 7]",3,0
"[5, 0, 4, 1, 3, 2, 6, 7]",4,0
"[5, 0, 4, 1, 3, 2, 6, 7]",5,0
"[5, 0, 4, 1, 3, 2, 6, 7]",6,0
"[5, 0, 4, 1, 3, 2, 6, 7]",7,1
"[5, 0, 4, 1, 3, 2, 6, 7]",8,0
"[5, 0, 4, 1, 3, 2, 6, 7]",9,1
"[5, 0, 4, 1, 3, 2, 6, 7]",10,0
"[5, 0, 4, 1, 3, 2, 6, 7]",11,0
"[5, 0, 4, 1, 3, 2, 6, 7]",12,0
"[5, 0, 4, 1, 3, 2, 6, 7]",13,0
"[5, 0, 4, 1, 3, 2, 6, 7]",14,0
"[5, 0, 4, 1, 3, 2, 6, 7]",15,0
"[5, 0, 4, 1, 3, 2, 6, 7]",16,0
"[5, 0, 4, 1, 3, 2, 6, 7]",17,1
"[5, 0, 4, 1, 3, 2, 6, 7]",18,1
"[5, 0, 4, 1, 3, 2, 6, 7]",19,0
"[5, 0, 4, 1, 3, 2, 6, 7]",20,0
"[5, 0, 4, 1, 3, 2, 6, 7]",21,1
"[5, 0, 4, 1, 3, 2, 6, 7]",22,0
"[5, 0, 4, 1, 3, 2, 6, 7]",23,1
"[5, 0, 4, 1, 3, 2, 6, 7]",24,0
"[5, 6, 2, 3, 1, 4, 0, 7]",0,0
"[5, 6, 2, 3, 1, 4, 0, 7]",1,0
"[5, 6, 2, 3, 1, 4, 0, 7]",2,0
"[5, 6, 2, 3, 1, 4, 0, 7]",3,0
"[5, 6, 2, 3, 1, 4, 0, 7]",4,0
"[5, 6, 2, 3, 1, 4, 0, 7]",5,0
"[5, 6, 2, 3, 1, 4, 0, 7]",6,0
"[5, 6, 2, 3, 1, 4, 0, 7]",7,0
"[5, 6, 2, 3, 1, 4, 0, 7]",8,0
"[5, 6, 2, 3, 1, 4, 0, 7]",9,1
"[5, 6, 2, 3, 1, 4, 0, 7]",10,0
"[5, 6, 2, 3, 1, 4, 0, 7]",11,0
"[5, 6, 2, 3, 1, 4, 0, 7]",12,0
"[5, 6, 2, 3, 1, 4, 0, 7]",13,1
"[5, 6, 2, 3, 1, 4, 0, 7]",14,0
"[5, 6, 2, 3, 1, 4, 0, 7]",15,1
"[5, 6, 2, 3, 1, 4, 0, 7]",16,0
"[5, 6, 2, 3, 1, 4, 0, 7]",17,1
"[5, 6, 2, 3, 1, 4, 0, 7]",18,0
"[5, 6, 2, 3, 1, 4, 0, 7]",19,1
"[5, 6, 2, 3, 1, 4, 0, 7]",20,0
"[5, 6, 2, 3, 1, 4, 0, 7]",21,1
"[5, 6, 2, 3, 1, 4, 0, 7]",22,0
"[5, 6, 2, 3, 1, 4, 0, 7]",23,0
"[5, 6, 2, 3, 1, 4, 0, 7]",24,0
"[4, 0, 6, 2, 5, 7, 1, 3]",0,0
"[4, 0, 6, 2, 5, 7, 1, 3]",1,1
"[4, 0, 6, 2, 5, 7, 1, 3]",2,0
"[4, 0, 6, 2, 5, 7, 1, 3]",3,1
"[4, 0, 6, 2, 5, 7, 1, 3]",4,0
"[4, 0, 6, 2, 5, 7, 1, 3]",5,0
"[4, 0, 6, 2, 5, 7, 1, 3]",6,0
"[4, 0, 6, 2, 5, 7, 1, 3]",7,0
"[4, 0, 6, 2, 5, 7, 1, 3]",8,0
"[4, 0, 6, 2, 5, 7, 1, 3]",9,1
"[4, 0, 6, 2, 5, 7, 1, 3]",10,0
"[4, 0, 6, 2, 5, 7, 1, 3]",11,0
"[4, 0, 6, 2, 5, 7, 1, 3]",12,0
"[4, 0, 6, 2, 5, 7, 1, 3]",13,0
"[4, 0, 6, 2, 5, 7, 1, 3]",14,0
"[4, 0, 6, 2, 5, 7, 1, 3]",15,1
"[4, 0, 6, 2, 5, 7, 1, 3]",16,0
"[4, 0, 6, 2, 5, 7, 1, 3]",17,1
"[4, 0, 6, 2, 5, 7, 1, 3]",18,0
"[4, 0, 6, 2, 5, 7, 1, 3]",19,0
"[4, 0, 6, 2, 5, 7, 1, 3]",20,0
"[4, 0, 6, 2, 5, 7, 1, 3]",21,0
"[4, 0, 6, 2, 5, 7, 1, 3]",22,0
"[4, 0, 6, 2, 5, 7, 1, 3]",23,0
"[4, 0, 6, 2, 5, 7, 1, 3]",24,0
"[4, 2, 6, 0, 5, 7, 1, 3]",0,0
"[4, 2, 6, 0, 5, 7, 1, 3]",1,0
"[4, 2, 6, 0, 5, 7, 1, 3]",2,0
"[4, 2, 6, 0, 5, 7, 1, 3]",3,0
"[4, 2, 6, 0, 5, 7, 1, 3]",4,0
"[4, 2, 6, 0, 5, 7, 1, 3]",5,0
"[4, 2, 6, 0, 5, 7, 1, 3]",6,0
"[4, 2, 6, 0, 5, 7, 1, 3]",7,1
"[4, 2, 6, 0, 5, 7, 1, 3]",8,0
"[4, 2, 6, 0, 5, 7, 1, 3]",9,1
"[4, 2, 6, 0, 5, 7, 1, 3]",10,0
"[4, 2, 6, 0, 5, 7, 1, 3]",11,0
"[4, 2, 6, 0, 5, 7, 1, 3]",12,0
"[4, 2, 6, 0, 5, 7, 1, 3]",13,0
"[4, 2, 6, 0, 5, 7, 1, 3]",14,0
"[4, 2, 6, 0, 5, 7, 1, 3]",15,1
"[4, 2, 6, 0, 5, 7, 1, 3]",16,0
"[4, 2, 6, 0, 5, 7, 1, 3]",17,1
"[4, 2, 6, 0, 5, 7, 1, 3]",18,0
"[4, 2, 6, 0, 5, 7, 1, 3]",19,1
"[4, 2, 6, 0, 5, 7, 1, 3]",20,0
"[4, 2, 6, 0, 5, 7, 1, 3]",21,0
"[4, 2, 6, 0, 5, 7, 1, 3]",22,0
"[4, 2, 6, 0, 5, 7, 1, 3]",23,0
"[4, 2, 6, 0, 5, 7, 1, 3]",24,0
"[3, 5, 4, 6, 2, 1, 7, 0]",0,0
"[3, 5, 4, 6, 2, 1, 7, 0]",1,0
"[3, 5, 4, 6, 2, 1, 7, 0]",2,0
"[3, 5, 4, 6, 2, 1, 7, 0]",3,1
"[3, 5, 4, 6, 2, 1, 7, 0]",4,0
"[3, 5, 4, 6, 2, 1, 7, 0]",5,0
"[3, 5, 4, 6, 2, 1, 7, 0]",6,0
"[3, 5, 4, 6, 2, 1, 7, 0]",7,0
"[3, 5, 4, 6, 2, 1, 7, 0]",8,0
"[3, 5, 4, 6, 2, 1, 7, 0]",9,1
"[3, 5, 4, 6, 2, 1, 7, 0]",10,0
"[3, 5, 4, 6, 2, 1, 7, 0]",11,0
"[3, 5, 4, 6, 2, 1, 7, 0]",12,0
"[3, 5, 4, 6, 2, 1, 7, 0]",13,1
"[3, 5, 4, 6, 2, 1, 7, 0]",14,0
"[3, 5, 4, 6, 2, 1, 7, 0]",15,0
"[3, 5, 4, 6, 2, 1, 7, 0]",16,0
"[3, 5, 4, 6, 2, 1, 7, 0]",17,1
"[3, 5, 4, 6, 2, 1, 7, 0]",18,0
"[3, 5, 4, 6, 2, 1, 7, 0]",19,0
"[3, 5, 4, 6, 2, 1, 7, 0]",20,0
"[3, 5, 4, 6, 2, 1, 7, 0]",21,1
"[3, 5, 4, 6, 2, 1, 7, 0]",22,0
"[3, 5, 4, 6, 2, 1, 7, 0]",23,0
"[3, 5, 4, 6, 2, 1, 7, 0]",24,0
"[3, 5, 4, 6, 2, 1, 0, 7]",0,0
"[3, 5, 4, 6, 2, 1, 0, 7]",1,0
"[3, 5, 4, 6, 2, 1, 0, 7]",2,0
"[3, 5, 4, 6, 2, 1, 0, 7]",3,0
"[3, 5, 4, 6, 2, 1, 0, 7]",4,0
"[3, 5, 4, 6, 2, 1, 0, 7]",5,1
"[3, 5, 4, 6, 2, 1, 0, 7]",6,0
"[3, 5, 4, 6, 2, 1, 0, 7]",7,1
"[3, 5, 4, 6, 2, 1, 0, 7]",8,0
"[3, 5, 4, 6, 2, 1, 0, 7]",9,1
"[3, 5, 4, 6, 2, 1, 0, 7]",10,0
"[3, 5, 4, 6, 2, 1, 0, 7]",11,0
"[3, 5, 4, 6, 2, 1, 0, 7]",12,0
"[3, 5, 4, 6, 2, 1, 0, 7]",13,0
"[3, 5, 4, 6, 2, 1, 0, 7]",14,0
"[3, 5, 4, 6, 2, 1, 0, 7]",15,0
"[3, 5, 4, 6, 2, 1, 0, 7]",16,0
"[3, 5, 4, 6, 2, 1, 0, 7]",17,1
"[3, 5, 4, 6, 2, 1, 0, 7]",18,1
"[3, 5, 4, 6, 2, 1, 0, 7]",19,1
"[3, 5, 4, 6, 2, 1, 0, 7]",20,0
"[3, 5, 4, 6, 2, 1, 0, 7]",21,0
"[3, 5, 4, 6, 2, 1, 0, 7]",22,1
"[3, 5, 4, 6, 2, 1, 0, 7]",23,0
"[3, 5, 4, 6, 2, 1, 0, 7]",24,1
"[1, 3, 2, 5, 4, 0, 6, 7]",0,0
"[1, 3, 2, 5, 4, 0, 6, 7]",1,1
"[1, 3, 2, 5, 4, 0, 6, 7]",2,0
"[1, 3, 2, 5, 4, 0, 6, 7]",3,1
"[1, 3, 2, 5, 4, 0, 6, 7]",4,1
"[1, 3, 2, 5, 4, 0, 6, 7]",5,0
"[1, 3, 2, 5, 4, 0, 6, 7]",6,1
"[1, 3, 2, 5, 4, 0, 6, 7]",7,0
"[1, 3, 2, 5, 4, 0, 6, 7]",8,0
"[1, 3, 2, 5, 4, 0, 6, 7]",9,0
"[1, 3, 2, 5, 4, 0, 6, 7]",10,0
"[1, 3, 2, 5, 4, 0, 6, 7]",11,0
"[1, 3, 2, 5, 4, 0, 6, 7]",12,0
"[1, 3, 2, 5, 4, 0, 6, 7]",13,1
"[1, 3, 2, 5, 4, 0, 6, 7]",14,0
"[1, 3, 2, 5, 4, 0, 6, 7]",15,1
"[1, 3, 2, 5, 4, 0, 6, 7]",16,1
"[1, 3, 2, 5, 4, 0, 6, 7]",17,1
"[1, 3, 2, 5, 4, 0, 6, 7]",18,0
"[1, 3, 2, 5, 4, 0, 6, 7]",19,1
"[1, 3, 2, 5, 4, 0, 6, 7]",20,0
"[1, 3, 2, 5, 4, 0, 6, 7]",21,0
"[1, 3, 2, 5, 4, 0, 6, 7]",22,1
"[1, 3, 2, 5, 4, 0, 6, 7]",23,0
"[1, 3, 2, 5, 4, 0, 6, 7]",24,0
"[1, 4, 5, 2, 3, 0, 6, 7]",0,0
"[1, 4, 5, 2, 3, 0, 6, 7]",1,0
"[1, 4, 5, 2, 3, 0, 6, 7]",2,0
"[1, 4, 5, 2, 3, 0, 6, 7]",3,0
"[1, 4, 5, 2, 3, 0, 6, 7]",4,1
"[1, 4, 5, 2, 3, 0, 6, 7]",5,0
"[1, 4, 5, 2, 3, 0, 6, 7]",6,0
"[1, 4, 5, 2, 3, 0, 6, 7]",7,1
"[1, 4, 5, 2, 3, 0, 6, 7]",8,0
"[1, 4, 5, 2, 3, 0, 6, 7]",9,1
"[1, 4, 5, 2, 3, 0, 6, 7]",10,0
"[1, 4, 5, 2, 3, 0, 6, 7]",11,0
"[1, 4, 5, 2, 3, 0, 6, 7]",12,1
"[1, 4, 5, 2, 3, 0, 6, 7]",13,0
"[1, 4, 5, 2, 3, 0, 6, 7]",14,0
"[1, 4, 5, 2, 3, 0, 6, 7]",15,1
"[1, 4, 5, 2, 3, 0, 6, 7]",16,0
"[1, 4, 5, 2, 3, 0, 6, 7]",17,1
"[1, 4, 5, 2, 3, 0, 6, 7]",18,1
"[1, 4, 5, 2, 3, 0, 6, 7]",19,1
"[1, 4, 5, 2, 3, 0, 6, 7]",20,0
"[1, 4, 5, 2, 3, 0, 6, 7]",21,0
"[1, 4, 5, 2, 3, 0, 6, 7]",22,1
"[1, 4, 5, 2, 3, 0, 6, 7]",23,0
"[1, 4, 5, 2, 3, 0, 6, 7]",24,0
"[1, 2, 3, 6, 4, 5, 7, 0]",0,0
"[1, 2, 3, 6, 4, 5, 7, 0]",1,0
"[1, 2, 3, 6, 4, 5, 7, 0]",2,0
"[1, 2, 3, 6, 4, 5, 7, 0]",3,1
"[1, 2, 3, 6, 4, 5, 7, 0]",4,1
"[1, 2, 3, 6, 4, 5, 7, 0]",5,0
"[1, 2, 3, 6, 4, 5, 7, 0]",6,0
"[1, 2, 3, 6, 4, 5, 7, 0]",7,1
"[1, 2, 3, 6, 4, 5, 7, 0]",8,0
"[1, 2, 3, 6, 4, 5, 7, 0]",9,1
"[1, 2, 3, 6, 4, 5, 7, 0]",10,0
"[1, 2, 3, 6, 4, 5, 7, 0]",11,0
"[1, 2, 3, 6, 4, 5, 7, 0]",12,0
"[1, 2, 3, 6, 4, 5, 7, 0]",13,0
"[1, 2, 3, 6, 4, 5, 7, 0]",14,1
"[1, 2, 3, 6, 4, 5, 7, 0]",15,1
"[1, 2, 3, 6, 4, 5, 7, 0]",16,0
"[1, 2, 3, 6, 4, 5, 7, 0]",17,1
"[1, 2, 3, 6, 4, 5, 7, 0]",18,0
"[1, 2, 3, 6, 4, 5, 7, 0]",19,1
"[1, 2, 3, 6, 4, 5, 7, 0]",20,0
"[1, 2, 3, 6, 4, 5, 7, 0]",21,0
"[1, 2, 3, 6, 4, 5, 7, 0]",22,1
"[1, 2, 3, 6, 4, 5, 7, 0]",23,0
"[1, 2, 3, 6, 4, 5, 7, 0]",24,0
"[6, 2, 3, 4, 1, 5, 7, 0]",0,0
"[6, 2, 3, 4, 1, 5, 7, 0]",1,1
"[6, 2, 3, 4, 1, 5, 7, 0]",2,0
"[6, 2, 3, 4, 1, 5, 7, 0]",3,0
"[6, 2, 3, 4, 1, 5, 7, 0]",4,0
"[6, 2, 3, 4, 1, 5, 7, 0]",5,0
"[6, 2, 3, 4, 1, 5, 7, 0]",6,0
"[6, 2, 3, 4, 1, 5, 7, 0]",7,1
"[6, 2, 3, 4, 1, 5, 7, 0]",8,0
"[6, 2, 3, 4, 1, 5, 7, 0]",9,1
"[6, 2, 3, 4, 1, 5, 7, 0]",10,0
"[6, 2, 3, 4, 1, 5, 7, 0]",11,0
"[6, 2, 3, 4, 1, 5, 7, 0]",12,0
"[6, 2, 3, 4, 1, 5, 7, 0]",13,0
"[6, 2, 3, 4, 1, 5, 7, 0]",14,1
"[6, 2, 3, 4, 1, 5, 7, 0]",15,1
"[6, 2, 3, 4, 1, 5, 7, 0]",16,0
"[6, 2, 3, 4, 1, 5, 7, 0]",17,1
"[6, 2, 3, 4, 1, 5, 7, 0]",18,0
"[6, 2, 3, 4, 1, 5, 7, 0]",19,1
"[6, 2, 3, 4, 1, 5, 7, 0]",20,0
"[6, 2, 3, 4, 1, 5, 7, 0]",21,0
"[6, 2, 3, 4, 1, 5, 7, 0]",22,1
"[6, 2, 3, 4, 1, 5, 7, 0]",23,0
"[6, 2, 3, 4, 1, 5, 7, 0]",24,0
"[0, 6, 2, 5, 3, 4, 7, 1]",0,0
"[0, 6, 2, 5, 3, 4, 7, 1]",1,1
"[0, 6, 2, 5, 3, 4, 7, 1]",2,0
"[0, 6, 2, 5, 3, 4, 7, 1]",3,0
"[0, 6, 2, 5, 3, 4, 7, 1]",4,1
"[0, 6, 2, 5, 3, 4, 7, 1]",5,0
"[0, 6, 2, 5, 3, 4, 7, 1]",6,0
"[0, 6, 2, 5, 3, 4, 7, 1]",7,1
"[0, 6, 2, 5, 3, 4, 7, 1]",8,0
"[0, 6, 2, 5, 3, 4, 7, 1]",9,1
"[0, 6, 2, 5, 3, 4, 7, 1]",10,0
"[0, 6, 2, 5, 3, 4, 7, 1]",11,0
"[0, 6, 2, 5, 3, 4, 7, 1]",12,0
"[0, 6, 2, 5, 3, 4, 7, 1]",13,1
"[0, 6, 2, 5, 3, 4, 7, 1]",14,0
"[0, 6, 2, 5, 3, 4, 7, 1]",15,1
"[0, 6, 2, 5, 3, 4, 7, 1]",16,0
"[0, 6, 2, 5, 3, 4, 7, 1]",17,1
"[0, 6, 2, 5, 3, 4, 7, 1]",18,1
"[0, 6, 2, 5, 3, 4, 7, 1]",19,1
"[0, 6, 2, 5, 3, 4, 7, 1]",20,0
"[0, 6, 2, 5, 3, 4, 7, 1]",21,0
"[0, 6, 2, 5, 3, 4, 7, 1]",22,1
"[0, 6, 2, 5, 3, 4, 7, 1]",23,0
"[0, 6, 2, 5, 3, 4, 7, 1]",24,0
"[5, 6, 0, 2, 3, 4, 7, 1]",0,0
"[5, 6, 0, 2, 3, 4, 7, 1]",1,0
"[5, 6, 0, 2, 3, 4, 7, 1]",2,0
"[5, 6, 0, 2, 3, 4, 7, 1]",3,1
"[5, 6, 0, 2, 3, 4, 7, 1]",4,0
"[5, 6, 0, 2, 3, 4, 7, 1]",5,0
"[5, 6, 0, 2, 3, 4, 7, 1]",6,1
"[5, 6, 0, 2, 3, 4, 7, 1]",7,0
"[5, 6, 0, 2, 3, 4, 7, 1]",8,0
"[5, 6, 0, 2, 3, 4, 7, 1]",9,0
"[5, 6, 0, 2, 3, 4, 7, 1]",10,0
"[5, 6, 0, 2, 3, 4, 7, 1]",11,0
"[5, 6, 0, 2, 3, 4, 7, 1]",12,0
"[5, 6, 0, 2, 3, 4, 7, 1]",13,0
"[5, 6, 0, 2, 3, 4, 7, 1]",14,0
"[5, 6, 0, 2, 3, 4, 7, 1]",15,1
"[5, 6, 0, 2, 3, 4, 7, 1]",16,0
"[5, 6, 0, 2, 3, 4, 7, 1]",17,1
"[5, 6, 0, 2, 3, 4, 7, 1]",18,0
"[5, 6, 0, 2, 3, 4, 7, 1]",19,0
"[5, 6, 0, 2, 3, 4, 7, 1]",20,0
"[5, 6, 0, 2, 3, 4, 7, 1]",21,0
"[5, 6, 0, 2, 3, 4, 7, 1]",22,0
"[5, 6, 0, 2, 3, 4, 7, 1]",23,0
"[5, 6, 0, 2, 3, 4, 7, 1]",24,0
"[4, 1, 5, 7, 3, 6, 0, 2]",0,0
"[4, 1, 5, 7, 3, 6, 0, 2]",1,1
"[4, 1, 5, 7, 3, 6, 0, 2]",2,0
"[4, 1, 5, 7, 3, 6, 0, 2]",3,0
"[4, 1, 5, 7, 3, 6, 0, 2]",4,0
"[4, 1, 5, 7, 3, 6, 0, 2]",5,0
"[4, 1, 5, 7, 3, 6, 0, 2]",6,0
"[4, 1, 5, 7, 3, 6, 0, 2]",7,1
"[4, 1, 5, 7, 3, 6, 0, 2]",8,0
"[4, 1, 5, 7, 3, 6, 0, 2]",9,1
"[4, 1, 5, 7, 3, 6, 0, 2]",10,0
"[4, 1, 5, 7, 3, 6, 0, 2]",11,0
"[4, 1, 5, 7, 3, 6, 0, 2]",12,0
"[4, 1, 5, 7, 3, 6, 0, 2]",13,1
"[4, 1, 5, 7, 3, 6, 0, 2]",14,1
"[4, 1, 5, 7, 3, 6, 0, 2]",15,0
"[4, 1, 5, 7, 3, 6, 0, 2]",16,0
"[4, 1, 5, 7, 3, 6, 0, 2]",17,1
"[4, 1, 5, 7, 3, 6, 0, 2]",18,0
"[4, 1, 5, 7, 3, 6, 0, 2]",19,1
"[4, 1, 5, 7, 3, 6, 0, 2]",20,1
"[4, 1, 5, 7, 3, 6, 0, 2]",21,0
"[4, 1, 5, 7, 3, 6, 0, 2]",22,0
"[4, 1, 5, 7, 3, 6, 0, 2]",23,0
"[4, 1, 5, 7, 3, 6, 0, 2]",24,0
"[6, 2, 5, 0, 1, 3, 4, 7]",0,0
"[6, 2, 5, 0, 1, 3, 4, 7]",1,1
"[6, 2, 5, 0, 1, 3, 4, 7]",2,0
"[6, 2, 5, 0, 1, 3, 4, 7]",3,1
"[6, 2, 5, 0, 1, 3, 4, 7]",4,0
"[6, 2, 5, 0, 1, 3, 4, 7]",5,0
"[6, 2, 5, 0, 1, 3, 4, 7]",6,0
"[6, 2, 5, 0, 1, 3, 4, 7]",7,0
"[6, 2, 5, 0, 1, 3, 4, 7]",8,0
"[6, 2, 5, 0, 1, 3, 4, 7]",9,1
"[6, 2, 5, 0, 1, 3, 4, 7]",10,0
"[6, 2, 5, 0, 1, 3, 4, 7]",11,0
"[6, 2, 5, 0, 1, 3, 4, 7]",12,0
"[6, 2, 5, 0, 1, 3, 4, 7]",13,0
"[6, 2, 5, 0, 1, 3, 4, 7]",14,0
"[6, 2, 5, 0, 1, 3, 4, 7]",15,1
"[6, 2, 5, 0, 1, 3, 4, 7]",16,0
"[6, 2, 5, 0, 1, 3, 4, 7]",17,1
"[6, 2, 5, 0, 1, 3, 4, 7]",18,1
"[6, 2, 5, 0, 1, 3, 4, 7]",19,1
"[6, 2, 5, 0, 1, 3, 4, 7]",20,0
"[6, 2, 5, 0, 1, 3, 4, 7]",21,0
"[6, 2, 5, 0, 1, 3, 4, 7]",22,0
"[6, 2, 5, 0, 1, 3, 4, 7]",23,0
"[6, 2, 5, 0, 1, 3, 4, 7]",24,0
"[6, 2, 5, 4, 0, 3, 1, 7]",0,0
"[6, 2, 5, 4, 0, 3, 1, 7]",1,1
"[6, 2, 5, 4, 0, 3, 1, 7]",2,0
"[6, 2, 5, 4, 0, 3, 1, 7]",3,0
"[6, 2, 5, 4, 0, 3, 1, 7]",4,1
"[6, 2, 5, 4, 0, 3, 1, 7]",5,0
"[6, 2, 5, 4, 0, 3, 1, 7]",6,0
"[6, 2, 5, 4, 0, 3, 1, 7]",7,0
"[6, 2, 5, 4, 0, 3, 1, 7]",8,0
"[6, 2, 5, 4, 0, 3, 1, 7]",9,1
"[6, 2, 5, 4, 0, 3, 1, 7]",10,0
"[6, 2, 5, 4, 0, 3, 1, 7]",11,0
"[6, 2, 5, 4, 0, 3, 1, 7]",12,0
"[6, 2, 5, 4, 0, 3, 1, 7]",13,0
"[6, 2, 5, 4, 0, 3, 1, 7]",14,0
"[6, 2, 5, 4, 0, 3, 1, 7]",15,1
"[6, 2, 5, 4, 0, 3, 1, 7]",16,0
"[6, 2, 5, 4, 0, 3, 1, 7]",17,1
"[6, 2, 5, 4, 0, 3, 1, 7]",18,1
"[6, 2, 5, 4, 0, 3, 1, 7]",19,1
"[6, 2, 5, 4, 0, 3, 1, 7]",20,0
"[6, 2, 5, 4, 0, 3, 1, 7]",21,1
"[6, 2, 5, 4, 0, 3, 1, 7]",22,0
"[6, 2, 5, 4, 0, 3, 1, 7]",23,0
"[6, 2, 5, 4, 0, 3, 1, 7]",24,0
"[4, 5, 7, 6, 1, 2, 3, 0]",0,0
"[4, 5, 7, 6, 1, 2, 3, 0]",1,1
"[4, 5, 7, 6, 1, 2, 3, 0]",2,0
"[4, 5, 7, 6, 1, 2, 3, 0]",3,1
"[4, 5, 7, 6, 1, 2, 3, 0]",4,0
"[4, 5, 7, 6, 1, 2, 3, 0]",5,0
"[4, 5, 7, 6, 1, 2, 3, 0]",6,1
"[4, 5, 7, 6, 1, 2, 3, 0]",7,1
"[4, 5, 7, 6, 1, 2, 3, 0]",8,0
"[4, 5, 7, 6, 1, 2, 3, 0]",9,1
"[4, 5, 7, 6, 1, 2, 3, 0]",10,0
"[4, 5, 7, 6, 1, 2, 3, 0]",11,0
"[4, 5, 7, 6, 1, 2, 3, 0]",12,0
"[4, 5, 7, 6, 1, 2, 3, 0]",13,1
"[4, 5, 7, 6, 1, 2, 3, 0]",14,0
"[4, 5, 7, 6, 1, 2, 3, 0]",15,0
"[4, 5, 7, 6, 1, 2, 3, 0]",16,0
"[4, 5, 7, 6, 1, 2, 3, 0]",17,1
"[4, 5, 7, 6, 1, 2, 3, 0]",18,0
"[4, 5, 7, 6, 1, 2, 3, 0]",19,1
"[4, 5, 7, 6, 1, 2, 3, 0]",20,0
"[4, 5, 7, 6, 1, 2, 3, 0]",21,0
"[4, 5, 7, 6, 1, 2, 3, 0]",22,0
"[4, 5, 7, 6, 1, 2, 3, 0]",23,0
"[4, 5, 7, 6, 1, 2, 3, 0]",24,0
"[4, 5, 7, 1, 6, 2, 3, 0]",0,0
"[4, 5, 7, 1, 6, 2, 3, 0]",1,1
"[4, 5, 7, 1, 6, 2, 3, 0]",2,0
"[4, 5, 7, 1, 6, 2, 3, 0]",3,1
"[4, 5, 7, 1, 6, 2, 3, 0]",4,1
"[4, 5, 7, 1, 6, 2, 3, 0]",5,0
"[4, 5, 7, 1, 6, 2, 3, 0]",6,0
"[4, 5, 7, 1, 6, 2, 3, 0]",7,1
"[4, 5, 7, 1, 6, 2, 3, 0]",8,0
"[4, 5, 7, 1, 6, 2, 3, 0]",9,1
"[4, 5, 7, 1, 6, 2, 3, 0]",10,0
"[4, 5, 7, 1, 6, 2, 3, 0]",11,0
"[4, 5, 7, 1, 6, 2, 3, 0]",12,0
"[4, 5, 7, 1, 6, 2, 3, 0]",13,0
"[4, 5, 7, 1, 6, 2, 3, 0]",14,0
"[4, 5, 7, 1, 6, 2, 3, 0]",15,1
"[4, 5, 7, 1, 6, 2, 3, 0]",16,0
"[4, 5, 7, 1, 6, 2, 3, 0]",17,1
"[4, 5, 7, 1, 6, 2, 3, 0]",18,1
"[4, 5, 7, 1, 6, 2, 3, 0]",19,0
"[4, 5, 7, 1, 6, 2, 3, 0]",20,0
"[4, 5, 7, 1, 6, 2, 3, 0]",21,0
"[4, 5, 7, 1, 6, 2, 3, 0]",22,0
"[4, 5, 7, 1, 6, 2, 3, 0]",23,0
"[4, 5, 7, 1, 6, 2, 3, 0]",24,0
"[7, 3, 1, 0, 6, 5, 2, 4]",0,0
"[7, 3, 1, 0, 6, 5, 2, 4]",1,1
"[7, 3, 1, 0, 6, 5, 2, 4]",2,0
"[7, 3, 1, 0, 6, 5, 2, 4]",3,0
"[7, 3, 1, 0, 6, 5, 2, 4]",4,0
"[7, 3, 1, 0, 6, 5, 2, 4]",5,0
"[7, 3, 1, 0, 6, 5, 2, 4]",6,0
"[7, 3, 1, 0, 6, 5, 2, 4]",7,1
"[7, 3, 1, 0, 6, 5, 2, 4]",8,0
"[7, 3, 1, 0, 6, 5, 2, 4]",9,1
"[7, 3, 1, 0, 6, 5, 2, 4]",10,0
"[7, 3, 1, 0, 6, 5, 2, 4]",11,0
"[7, 3, 1, 0, 6, 5, 2, 4]",12,1
